,title,price,furnishing,bathrooms,tenant preferred,carpet area,House,BHK,place,floor_number,total_floors
209,3 BHK Builder Floor for Rent in Kaloor Kochi,17000.0,Semi-Furnished,2.0,Bachelors/Family,,Builder Floor,3,Kaloor,1.0,4.0
210,"2 BHK Apartment for Rent in DD Diamond Valley, Kakkanad Kochi",24000.0,Semi-Furnished,2.0,Bachelors,970.0,Apartment,2,Kakkanad,10.0,17.0
211,1 BHK House for Rent in Vaduthala Kochi,4500.0,Furnished,1.0,Bachelors/Family,,House,1,Vaduthala,,
212,3 BHK House for Rent in udayamperoor Kochi,15000.0,Unfurnished,3.0,Bachelors/Family,1116.0,House,3,udayamperoor,,
213,2 BHK Apartment for Rent in Pachalam Kochi,11000.0,Unfurnished,2.0,Bachelors/Family,850.0,Apartment,2,Pachalam,2.0,2.0
214,1 BHK Apartment for Rent in Thevara Kochi,15000.0,Furnished,1.0,Bachelors,400.0,Apartment,1,Thevara,0.0,3.0
215,3 BHK Villa for Rent in Aikaranad South Kochi,16000.0,Unfurnished,3.0,Bachelors/Family,1800.0,Villa,3,South,,
216,3 BHK Builder Floor for Rent in Elamakkara Kochi,15000.0,Semi-Furnished,2.0,Bachelors/Family,,Builder Floor,3,Elamakkara,2.0,3.0
217,2 BHK Apartment for Rent in Kakkanad Kochi,15000.0,Furnished,1.0,Bachelors/Family,700.0,Apartment,2,Kakkanad,0.0,2.0
218,2 BHK Apartment for Rent in Tripunithura Kochi,20000.0,Semi-Furnished,2.0,Bachelors/Family,1100.0,Apartment,2,Tripunithura,3.0,14.0
219,"3 BHK Apartment for Rent in Galaxy Luxor, Kadavanthra Kochi",20000.0,Furnished,2.0,Bachelors,1000.0,Apartment,3,Kadavanthra,4.0,4.0
220,2 BHK Apartment for Rent in Ayyappankavu Kochi,25000.0,,,Bachelors/Family,,Apartment,2,Ayyappankavu,,
221,5 BHK House for Rent in Kandanad Kochi,30000.0,Semi-Furnished,5.0,Bachelors/Family,,House,5,Kandanad,1.0,2.0
222,3 BHK Apartment for Rent in Aluva Kochi,15000.0,Semi-Furnished,4.0,Bachelors/Family,1600.0,Apartment,3,Aluva,7.0,14.0
223,"2 BHK Apartment for Rent in Jawahar Nagar, Kadavanthra Kochi",30000.0,Furnished,3.0,Bachelors/Family,950.0,Apartment,2,Kadavanthra,2.0,2.0
224,3 BHK Builder Floor for Rent in Edappally Kochi,16500.0,Unfurnished,3.0,Bachelors/Family,1150.0,Builder Floor,3,Edappally,2.0,2.0
225,3 BHK Apartment for Rent in shenoys Kochi,32000.0,Furnished,2.0,Bachelors/Family,1400.0,Apartment,3,shenoys,9.0,12.0
226,1 BHK Apartment for Rent in Angamaly Kochi,9500.0,Furnished,1.0,Bachelors/Family,200.0,Apartment,1,Angamaly,1.0,3.0
227,2 BHK Villa for Rent in Kochi,25000.0,Furnished,2.0,Bachelors/Family,,Villa,2,in,,
228,2 BHK House for Rent in Maradu Kochi,11000.0,Unfurnished,1.0,Bachelors/Family,,House,2,Maradu,,
229,1 BHK House for Rent in Nedumbassery Kochi,8000.0,Semi-Furnished,1.0,Bachelors/Family,,House,1,Nedumbassery,,
230,2 BHK Apartment for Rent in Thevara Kochi,16000.0,Semi-Furnished,2.0,Bachelors/Family,840.0,Apartment,2,Thevara,8.0,13.0
231,3 BHK Villa for Rent in Thuthiyoor Kochi,42000.0,Furnished,3.0,Bachelors/Family,,Villa,3,Thuthiyoor,,
