title,price,furnishing,bathrooms,tenant preferred,carpet area,House,BHK,place,floor_number,total_floors
3 BHK House for Rent in Vyttila Kochi,24000,Semi-Furnished,2,Bachelors/Family,,House,3,Vyttila,0,1
3 BHK Apartment for Rent in Menaka-MARINE DRIVE Kochi,25000,Semi-Furnished,2,Bachelors/Family,1500,Apartment,3,DRIVE,3,12
1 BHK House for Rent in Chottanikkara Kochi,30000,Furnished,1,Bachelors/Family,650,House,1,Chottanikkara,,
3 BHK Apartment for Rent in Mahatma Gandhi Road Kochi,10000,Semi-Furnished,3,Bachelors/Family,,Apartment,3,Road,,
2 BHK Builder Floor for Rent in Fort Cochin Kochi,6500,Furnished,2,Bachelors/Family,,Builder Floor,2,Cochin,0,3
4 BHK Villa for Rent in Angamali Kochi,25000,Furnished,5,Bachelors/Family,,Villa,4,Angamali,,
3 BHK House for Rent in Piravom Kochi,20000,Furnished,4,Bachelors/Family,,House,3,Piravom,,
3 BHK Villa for Rent in Edappally Kochi,18000,Unfurnished,3,Bachelors/Family,,Villa,3,Edappally,,
1 BHK Apartment for Rent in Jose Junction Kochi,15000,Semi-Furnished,1,Bachelors/Family,750,Apartment,1,Junction,2,2
2 BHK Builder Floor for Rent in Thoppumpady Kochi,10000,Unfurnished,2,Family,,Builder Floor,2,Thoppumpady,,
3 BHK House for Rent in Kakkanad Kochi,15000,Unfurnished,2,Bachelors/Family,1100,House,3,Kakkanad,,
3 BHK House for Rent in Kakkanad Kochi,15000,Unfurnished,2,Bachelors/Family,,House,3,Kakkanad,,
3 BHK Apartment for Rent in Panampily Nagar Kochi,40000,Furnished,3,Bachelors/Family,1600,Apartment,3,Panampily Nagar,4,11
1 BHK Apartment for Rent in Kaloor Kochi,7500,Semi-Furnished,1,Bachelors/Family,550,Apartment,1,Kaloor,1,2
3 BHK House for Rent in Palluruthy Kochi,16000,Semi-Furnished,3,Bachelors/Family,1080,House,3,Palluruthy,,
3 BHK Apartment for Rent in Thrikkakara Kochi,25000,Semi-Furnished,3,Bachelors/Family,,Apartment,3,Thrikkakara,9,11
3 BHK House for Rent in Palarivattom Kochi,20000,Semi-Furnished,3,Bachelors,1000,House,3,Palarivattom,1,2
3 BHK Apartment for Rent in Kadavanthra Kochi,25000,Furnished,2,Bachelors/Family,,Apartment,3,Kadavanthra,0,3
3 BHK House for Rent in Thrikkakara Kochi,23000,Unfurnished,3,Bachelors,,House,3,Thrikkakara,0,2
3 BHK House for Rent in Vyttila Kochi,40000,Semi-Furnished,3,Bachelors/Family,,House,3,Vyttila,1,1
4 BHK Villa for Rent in Aluva Kochi,25000,Semi-Furnished,5,Bachelors/Family,2800,Villa,4,Aluva,,
"3 BHK Apartment for Rent in ABAD Bluechip, Kakkanad Kochi",40000,Unfurnished,2,Bachelors/Family,1525,Apartment,3,Kakkanad,6,17
"3 BHK Apartment for Rent in Express Estate, Kaloor Kochi",40000,Furnished,3,Family,,Apartment,3,Kaloor,16,17
"2 BHK Apartment for Rent in AWHO silver sand island, Vyttila Kochi",21500,Semi-Furnished,2,Bachelors/Family,,Apartment,2,Vyttila,5,14
3 BHK Apartment for Rent in Palarivattom Kochi,25000,Unfurnished,3,Bachelors,,Apartment,3,Palarivattom,6,10
1 BHK Apartment for Rent in Kakkanad Kochi,14500,Semi-Furnished,1,Bachelors/Family,,Apartment,1,Kakkanad,1,3
2 BHK House for Rent in Kakkanad Kochi,3000,Semi-Furnished,2,Bachelors/Family,1000,House,2,Kakkanad,,
2 BHK Builder Floor for Rent in Kalamasery Kochi,15000,Semi-Furnished,2,Bachelors/Family,,Builder Floor,2,Kalamasery,2,3
Studio Apartment for Rent in Infopark Campus Kochi,7000,Semi-Furnished,1,Bachelors/Family,,Apartment,S,Campus,1,2
2 BHK House for Rent in Thevara Kochi,15000,Unfurnished,2,Bachelors/Family,,House,2,Thevara,1,2
3 BHK Builder Floor for Rent in Kaloor Kochi,17000,Semi-Furnished,2,Bachelors/Family,,Builder Floor,3,Kaloor,1,4
2 BHK House for Rent in Chalikkavattom Kochi,9000,Unfurnished,2,Bachelors/Family,,House,2,Chalikkavattom,0,1
2 BHK House for Rent in Thoppumpady Kochi,17000,Furnished,2,Family,1000,House,2,Thoppumpady,,
2 BHK House for Rent in Kangarappady Kochi,7250,Unfurnished,1,Bachelors,802,House,2,Kangarappady,0,2
"3 BHK Apartment for Rent in DD Diamond Valley, Kakkanad Kochi",39600,Unfurnished,3,Bachelors,,Apartment,3,Kakkanad,8,15
2 BHK House for Rent in Kaloor Kochi,17500,Unfurnished,2,Family,,House,2,Kaloor,,
