Date 	Open 	High 	Low 	Close 	Shares Traded 	Turnover (? Cr)	India VIX	STT rate	Avg Share price	Trading Volume 
27-Sep-18	11079.8	11089.45	10953.35	10977.55	418210067	22582.86	16.9225	0.05	11021.4	2.049001034
28-Sep-18	11008.1	11034.1	10850.3	10930.45	492894147	23227.86	16.995	0.05	10942.2	2.122777869
01-Oct-18	10930.9	11035.65	10821.55	11008.3	398987274	20391.72	16.835	0.05	10928.6	1.865904141
03-Oct-18	10982.7	10989.05	10843.75	10858.25	398756507	21225.59	18.1175	0.05	10916.4	1.944376351
04-Oct-18	10754.7	10754.7	10547.25	10599.25	438202008	23711.57	18.915	0.05	10650.975	2.226234687
05-Oct-18	10514.1	10540.65	10261.9	10316.45	625153832	25254.21	19.7325	0.05	10401.275	2.427991761
08-Oct-18	10310.15	10398.35	10198.4	10348.05	470279031	22130.94	20.1475	0.05	10298.375	2.148973989
09-Oct-18	10390.3	10397.6	10279.35	10301.05	443795275	18285.41	19.755	0.05	10338.475	1.768675748
10-Oct-18	10331.85	10482.35	10318.25	10460.1	373844130	19592.59	17.9075	0.05	10400.3	1.883848543
11-Oct-18	10169.8	10335.95	10138.6	10234.65	498509417	21907.13	20.5475	0.05	10237.275	2.13993763
12-Oct-18	10331.55	10492.45	10322.15	10472.5	354056762	18606.04	18.6275	0.05	10407.3	1.787787418
15-Oct-18	10524.2	10526.3	10410.15	10512.5	267517728	14372.15	18.885	0.05	10468.225	1.372930941
16-Oct-18	10550.15	10604.9	10525.3	10584.75	273444095	15453.03	17.3725	0.05	10565.1	1.462648721
17-Oct-18	10688.7	10710.15	10436.45	10453.05	293586908	17173.14	17.98	0.05	10573.3	1.624198689
19-Oct-18	10339.7	10380.1	10249.6	10303.55	368552204	20505.66	19.7875	0.05	10314.85	1.987974619
22-Oct-18	10405.85	10408.55	10224	10245.25	306472776	17241.94	21.3575	0.05	10316.275	1.671333887
23-Oct-18	10152.6	10222.1	10102.35	10146.8	312042090	18114.71	19.0375	0.05	10162.225	1.782553525
